Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 1 Defending Wins,Team 1 Defending Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 2 Defending Wins,Team 2 Defending Losses,Date,Team 1 Agents,Team 2 Agents
Champions Tour 2023: Masters Tokyo - Playoffs,Pearl,NRG Esports,Paper Rex,13,15,6,8,7,7,7,7,8,6,2023-06-21T00:00:00.000Z,"Killjoy,Viper,Jett,Skye,Harbor","Killjoy,Phoenix,Jett,Skye,Astra"
Champions Tour 2023: Masters Tokyo - Playoffs,Split,FNATIC,Evil Geniuses,13,11,7,5,6,6,6,6,5,7,2023-06-21T00:00:00.000Z,"Breach,Raze,Cypher,Omen,Skye","Raze,Viper,Jett,Skye,Astra"
Champions Tour 2023: Masters Tokyo - Playoffs,Fracture,FNATIC,Evil Geniuses,9,13,3,9,6,4,4,6,9,3,2023-06-21T00:00:00.000Z,"Breach,Raze,Killjoy,Brimstone,Fade","Breach,Raze,Sova,Killjoy,Brimstone"
Champions Tour 2023: Masters Tokyo - Playoffs,Lotus,FNATIC,Evil Geniuses,13,3,10,2,3,1,1,3,2,10,2023-06-21T00:00:00.000Z,"Raze,Killjoy,Viper,Astra,Fade","Breach,Killjoy,Omen,Jett,Skye"
Champions Tour 2023: Masters Tokyo - Playoffs,Lotus,Paper Rex,EDward Gaming,13,8,5,4,8,4,4,8,4,5,2023-06-20T00:00:00.000Z,"Raze,Cypher,Omen,Skye,Gekko","Raze,Cypher,Omen,Jett,Skye"
Champions Tour 2023: Masters Tokyo - Playoffs,Split,Paper Rex,EDward Gaming,9,13,3,7,6,6,6,6,7,3,2023-06-20T00:00:00.000Z,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Jett,Skye,Astra"
Champions Tour 2023: Masters Tokyo - Playoffs,Fracture,Paper Rex,EDward Gaming,14,12,5,8,9,4,4,9,8,5,2023-06-20T00:00:00.000Z,"Breach,Raze,Killjoy,Brimstone,Neon","Breach,Killjoy,Brimstone,Jett,Skye"
Champions Tour 2023: Masters Tokyo - Playoffs,Split,Team Liquid,NRG Esports,5,13,1,5,4,8,8,4,5,1,2023-06-20T00:00:00.000Z,"Cypher,Sage,Omen,Jett,Skye","Raze,Viper,Jett,Skye,Astra"
Champions Tour 2023: Masters Tokyo - Playoffs,Ascent,Team Liquid,NRG Esports,13,8,7,5,6,3,3,6,5,7,2023-06-20T00:00:00.000Z,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Champions Tour 2023: Masters Tokyo - Playoffs,Haven,Team Liquid,NRG Esports,12,14,4,9,8,5,5,8,9,4,2023-06-20T00:00:00.000Z,"Breach,Killjoy,Omen,Jett,Skye","Killjoy,Viper,Jett,Skye,Harbor"
