Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Haven,FAWZ Purple,Vovin,5,13,3,9,4,2,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Ascent,Mongolia Car,Spate Esports,13,6,6,6,0,7,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,Deadlock"
Haven,Nearest Airport,OREGON CRACK,13,6,6,1,5,7,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Haven,Bobo is Hobo,YDZ Esports,8,13,2,7,6,6,"Breach,Cypher,Sova,Omen,Jett","Cypher,Sova,Omen,Yoru,Iso"
Haven,Gondal Enjoyers,Boise State University,13,4,10,2,2,3,"Cypher,Sova,Yoru,Iso,Clove","Sova,Jett,Astra,Deadlock,Iso"
Abyss,Corvus Esports,Boomer Squad,13,8,6,3,5,7,"Breach,Sova,Omen,Jett,Deadlock","Breach,Cypher,Sova,Jett,Astra"
Sunset,A Good Team,threehunna,13,3,2,2,1,11,"Raze,Cypher,Sova,Omen,KAY/O","Breach,Raze,Cypher,Omen,Gekko"
Split,West Virginia University,Be Like Matt,13,5,5,1,4,8,"Breach,Raze,Viper,Skye,Clove","Raze,Cypher,Viper,Omen,Skye"
Bind,Freaky Furries,Ivy League Dropouts,13,6,9,3,3,4,"Raze,Viper,Brimstone,Fade,Deadlock","Raze,Viper,Brimstone,Fade,Gekko"
Bind,SaD Esports,Shane's Kittens,13,6,4,3,3,9,"Raze,Viper,Brimstone,Yoru,Fade","Raze,Cypher,Viper,Skye,Clove"
Sunset,Unckies,kellogs cereal,13,6,4,3,3,9,"Breach,Raze,Cypher,Omen,Gekko","Raze,Omen,Gekko,Deadlock,Iso"
Split,Dexterity Gaming,the gnomes,7,13,4,8,5,3,"Raze,Cypher,Viper,Omen,Skye","Raze,Cypher,Omen,Jett,Skye"
Haven,Goon that jawn,Made in Brampton,13,6,4,3,3,9,"Raze,Astra,Chamber,Neon,Fade","Sova,Phoenix,Chamber,Neon,Clove"
Haven,Aspyre x Swarm,Asura Onyx,13,9,8,2,7,5,"Killjoy,Viper,Omen,Jett,Skye","Breach,Cypher,Sova,Omen,Jett"
Sunset,Mongolia Car,Spate Esports,13,7,7,5,2,6,"Breach,Cypher,Sova,Omen,Neon","Breach,Raze,Phoenix,Omen,Deadlock"
Haven,Made in O'Block,OC Eagles,13,10,7,4,6,6,"Breach,Sova,Killjoy,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Sunset,Non-Verbal,Blackline,13,3,9,3,0,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Raze,Cypher,Omen,Gekko"
Sunset,Nearest Airport,OREGON CRACK,10,13,4,7,6,6,"Breach,Raze,Cypher,Sova,Omen","Raze,Cypher,Gekko,Iso,Clove"
Haven,Berzerkers,Harmony,13,4,9,3,1,4,"Cypher,Sova,Omen,Jett,Yoru","Breach,Sova,Killjoy,Omen,Neon"
Haven,Good Career,Boise State University,13,7,6,6,1,7,"Breach,Cypher,Sova,Omen,Jett","Sova,Jett,Astra,Deadlock,Iso"
Sunset,ABG luvrs,Event Horizon,13,10,8,3,7,5,"Breach,Cypher,Sova,Omen,Neon","Raze,Cypher,Sova,Omen,KAY/O"
Haven,Bobo is Hobo,Corvus Esports,13,2,11,1,1,2,"Breach,Cypher,Sova,Omen,Jett","Cypher,Sova,Omen,Jett,Iso"
Haven,kellogs cereal,BUGBLENDER,13,11,8,4,7,5,"Breach,Cypher,Sova,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Haven,whats a pretzel,BUGBLENDER,13,11,8,4,7,5,"Breach,Cypher,Sova,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Haven,Vovin,1KRR and Racoone,6,13,4,8,5,2,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,Neon,Deadlock"
Pearl,Koufs Fun Club,Gondal Enjoyers,13,4,5,0,4,8,"Killjoy,Phoenix,Omen,Jett,Fade","Cypher,Yoru,Astra,Fade,Deadlock"
