Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Sunset,マジスク学園卓球部,VoL,17,15,12,4,11,5,"Breach,Raze,Cypher,Sova,Omen","Raze,Cypher,Sova,Omen,Gekko"
Bind,マジスク学園卓球部,VoL,13,11,7,5,6,6,"Raze,Cypher,Phoenix,Omen,Skye","Raze,Cypher,Brimstone,Jett,Skye"
Split,FOCUSGG,Vatles Esports,13,8,8,4,4,5,"Breach,Raze,Omen,Neon","Breach,Raze,Cypher,Jett,Astra"
Pearl,マジスク学園卓球部,VoL,11,13,6,6,7,5,"Killjoy,Phoenix,Jett,Astra,Fade","Killjoy,Reyna,Jett,Astra,Fade"
Ascent,FOCUSGG,Vatles Esports,13,2,10,2,0,3,"Cypher,Sova,Reyna,Omen,Neon","Cypher,Sova,Reyna,Omen,Jett"
Sunset,FOCUSGG,Vatles Esports,11,13,5,7,6,6,"Breach,Raze,Cypher,Omen,Neon","Breach,Raze,Cypher,Omen,Neon"
Sunset,彡(ﾟ)(ﾟ) グエー新団子,マジスク学園卓球部,9,13,4,6,7,5,"Breach,Cypher,Sova,Omen,Jett","Breach,Raze,Cypher,Sova,Omen"
Split,男が先に前出ろ,VoL,10,13,5,7,6,5,"Raze,Reyna,Omen,Jett,Chamber","Breach,Raze,Cypher,Omen,Skye"
Bind,Arena Internet Cafe,Hornswogglers,5,13,3,9,4,2,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Brimstone,Omen,Skye,Deadlock"
Sunset,男が先に前出ろ,VoL,13,8,9,3,5,4,"Sova,Phoenix,Omen,Jett,Chamber","Raze,Cypher,Sova,Omen,Gekko"
Haven,彡(ﾟ)(ﾟ) グエー新団子,マジスク学園卓球部,13,11,9,3,8,4,"Breach,Sova,Killjoy,Jett,Astra","Breach,Cypher,Sova,Omen,Jett"
Split,彡(ﾟ)(ﾟ) グエー新団子,マジスク学園卓球部,1,13,1,11,2,0,"Raze,Cypher,Skye,Astra,Iso","Raze,Cypher,Omen,Jett,Skye"
Haven,Arena Internet Cafe,Hornswogglers,8,13,6,3,10,2,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Bind,男が先に前出ろ,VoL,7,13,1,7,6,6,"Raze,Yoru,Chamber,Gekko,Clove","Raze,Cypher,Brimstone,Jett,Skye"
Haven,Blue Otter,Trust In Plug,15,13,7,7,6,8,"Breach,Cypher,Sova,Omen,Neon","Breach,Sova,Omen,Chamber,Neon"
Sunset,Blue Otter,Trust In Plug,13,9,5,5,4,8,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,Neon,Gekko"
Bind,Blue Otter,SaD Esports,13,9,6,6,3,7,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Viper,Brimstone,Skye,Gekko"
Split,KTANA Esports,FUSION,13,11,5,7,4,8,"Raze,Cypher,Omen,Fade,Deadlock","Omen,Skye,Neon,Deadlock"
Haven,Blue Otter,SaD Esports,15,17,11,5,12,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Sunset,Trust In Plug,ROSE,13,10,7,5,5,6,"Breach,Cypher,Omen,Neon,Gekko","Breach,Cypher,Omen,Neon,Fade"
Bind,KTANA Esports,FUSION,13,11,7,5,6,6,"Raze,Cypher,Brimstone,Skye,Deadlock","Brimstone,Skye,Neon,Fade,Deadlock"
Abyss,Blue Otter,SaD Esports,13,10,7,4,6,6,"Cypher,Sova,Viper,Yoru,Astra","Sova,Omen,Jett,Astra,KAY/O"
